
"CPE 461","01","1435","Lab","","002085","","","","Oliver, J","","","20","0","0","0",""
"CPE 461 /0","02","****","Lab","","002085","","","","","","","","","","",""
"CPE 461 /0","03","****","Lab","","002085","","","","","","","","","","",""
"CPE 461 /0","04","****","Lab","","002085","","","","","","","","","","",""
"CPE 461 /0","05","****","Lab","","002085","","","","","","","","","","",""
"CPE 461 /0","06","****","Lab","","002085","","","","","","","","","","",""
"CPE 461 /0","07","****","Lab","","002085","","","","","","","","","","",""
"CPE 461 /0","08","****","Lab","","002085","","","","","","","","","","",""
"CPE 461 /0","09","****","Lab","","002085","","","","","","","","","","",""
"CPE 461 /0","10","****","Lab","","002085","","","","","","","","","","",""
"CPE 461 /0","11","****","Lab","","002085","","","","","","","","","","",""
"CPE 461 /0","12","****","Lab","","002085","","","","","","","","","","",""
"CPE 461 /0","13","****","Lab","","002085","","","","","","","","","","",""
"CPE 461 /0","14","****","Lab","","002085","","","","","","","","","","",""
"CPE 461 /0","15","****","Lab","","002085","","","","","","","","","","",""
"CPE 461 /0","16","****","Lab","","002085","","","","","","","","","","",""
"CPE 461 /0","17","****","Lab","","002085","","","","","","","","","","",""
"CPE 461 /0","18","****","Lab","","002085","","","","","","","","","","",""
"CPE 461 /0","19","****","Lab","","002085","","","","","","","","","","",""
"CPE 461 /0","20","****","Lab","","002085","","","","","","","","","","",""
"CPE 461 /0","21","****","Lab","","002085","","","","","","","","","","",""
"CPE 461 /0","22","****","Lab","","002085","","","","","","","","","","",""
"CPE 461 /0","23","****","Lab","","002085","","","","","","","","","","",""
"CPE 461 /0","24","****","Lab","","002085","","","","","","","","","","",""
"CPE 461 /0","25","****","Lab","","002085","","","","","","","","","","",""
"CPE 461 /0","26","****","Lab","","002085","","","","","","","","","","",""
"CPE 461 /0","27","****","Lab","","002085","","","","","","","","","","",""
"CPE 461 /0","28","****","Lab","","002085","","","","","","","","","","",""
"CPE 461 /0","29","****","Lab","","002085","","","","","","","","","","",""
"CPE 461 /0","30","****","Lab","","002085","","","","","","","","","","",""
"CPE 461 /0","31","****","Lab","","002085","","","","","","","","","","",""
"CPE 461 /0","32","****","Lab","","002085","","","","","","","","","","",""
"CPE 461 /0","33","****","Lab","","002085","","","","","","","","","","",""
"CPE 461 /0","34","****","Lab","","002085","","","","","","","","","","",""
"CPE 461 /0","35","****","Lab","","002085","","","","","","","","","","",""
