
"CPE 400","01","1428","Ind","","","","","","Oliver, J","","","20","0","0","0",""
"CPE 400 /0","02","****","Ind","","","","","","","","","","","","",""
"CPE 400 /0","03","****","Ind","","","","","","","","","","","","",""
"CPE 400 /0","04","****","Ind","","","","","","","","","","","","",""
"CPE 400 /0","05","****","Ind","","","","","","","","","","","","",""
"CPE 400 /0","06","****","Ind","","","","","","","","","","","","",""
"CPE 400 /0","07","****","Ind","","","","","","","","","","","","",""
"CPE 400 /0","08","****","Ind","","","","","","","","","","","","",""
"CPE 400 /0","09","****","Ind","","","","","","","","","","","","",""
"CPE 400 /0","10","****","Ind","","","","","","","","","","","","",""
"CPE 400 /0","11","****","Ind","","","","","","","","","","","","",""
"CPE 400 /0","12","****","Ind","","","","","","","","","","","","",""
"CPE 400 /0","13","****","Ind","","","","","","","","","","","","",""
"CPE 400 /0","14","****","Ind","","","","","","","","","","","","",""
"CPE 400 /0","15","****","Ind","","","","","","","","","","","","",""
"CPE 400 /0","16","****","Ind","","","","","","","","","","","","",""
"CPE 400 /0","17","****","Ind","","","","","","","","","","","","",""
