
"MATH 400","01","1797","Ind","","000576","","","","Richert, B","","","5","0","0","0",""
"MATH 400 /0","02","****","Ind","","000576","","","","","","","","","","",""
"MATH 400 /0","03","****","Ind","","000576","","","","","","","","","","",""
"MATH 400 /0","04","****","Ind","","000576","","","","","","","","","","",""
"MATH 400 /0","05","****","Ind","","000576","","","","","","","","","","",""
"MATH 400 /0","06","****","Ind","","000576","","","","","","","","","","",""
"MATH 400 /0","07","****","Ind","","000576","","","","","","","","","","",""
"MATH 400 /0","08","****","Ind","","000576","","","","","","","","","","",""
"MATH 400 /0","09","****","Ind","","000576","","","","","","","","","","",""
"MATH 400 /0","10","****","Ind","","000576","","","","","","","","","","",""
"MATH 400 /0","11","****","Ind","","000576","","","","","","","","","","",""
"MATH 400 /0","12","****","Ind","","000576","","","","","","","","","","",""
"MATH 400 /0","13","****","Ind","","000576","","","","","","","","","","",""
"MATH 400 /0","14","****","Ind","","000576","","","","","","","","","","",""
"MATH 400 /0","15","****","Ind","","000576","","","","","","","","","","",""
"MATH 400 /0","16","****","Ind","","000576","","","","","","","","","","",""
"MATH 400 /0","17","****","Ind","","000576","","","","","","","","","","",""
"MATH 400 /0","18","****","Ind","","000576","","","","","","","","","","",""
"MATH 400 /0","19","****","Ind","","000576","","","","","","","","","","",""
"MATH 400 /0","20","****","Ind","","000576","","","","","","","","","","",""
"MATH 400 /0","21","****","Ind","","000576","","","","","","","","","","",""
"MATH 400 /0","22","****","Ind","","000576","","","","","","","","","","",""
"MATH 400 /0","23","****","Ind","","000576","","","","","","","","","","",""
"MATH 400 /0","24","****","Ind","","000576","","","","","","","","","","",""
"MATH 400 /0","25","****","Ind","","000576","","","","","","","","","","",""
"MATH 400 /0","26","****","Ind","","000576","","","","","","","","","","",""
"MATH 400 /0","27","****","Ind","","000576","","","","","","","","","","",""
"MATH 400 /0","28","****","Ind","","000576","","","","","","","","","","",""
"MATH 400 /0","29","****","Ind","","000576","","","","","","","","","","",""
"MATH 400 /0","30","****","Ind","","000576","","","","","","","","","","",""
