
"PHIL 231","01","2762","Lec","GEC2","004031","TR","12:10 PM","02:00 PM","Ball, S","192-0224","43","30","2","0","1","ICS"
"PHIL 231","02","2763","Lec","GEC2","004031","TR","02:10 PM","04:00 PM","Dickinson, J","186-C101","40","30","8","0","0","ICS"
"PHIL 231","03","2764","Lec","GEC2","004031","TR","04:10 PM","06:00 PM","Dickinson, J","005-0100","40","30","12","0","0","ICS"
"PHIL 231","04","6342","Lec","GEC2","004031","MW","02:10 PM","04:00 PM","Fernflores, R","008-0123","150","120","2","0","0","ICS"
"PHIL 231","05","4503","Lec","GEC2","004031","MW","10:10 AM","12:00 PM","Jenkins, R","180-0101","134","130","17","0","0","ICS"
"PHIL 231 (2) /0","06","6361","Lec","GEC2","004031","MW","06:10 PM","08:00 PM","","186-C203","48","30","0","0","0","ICS"
"PHIL 231 (2) /0","07","6362","Lec","GEC2","004031","MW","04:10 PM","06:00 PM","","022-0211","36","30","1","0","0","ICS"
"PHIL 231 (2)","08","6363","Lec","GEC2","004031","MW","04:10 PM","06:00 PM","Rentz, Z","013-0110","40","30","1","0","0","ICS"
"PHIL 231 (2)","09","6364","Lec","GEC2","004031","MW","06:10 PM","08:00 PM","Rentz, Z","014-0250","35","30","1","0","0","ICS"
"PHIL 231","10","6637","Lec","GEC2","004031","TR","09:10 AM","11:00 AM","Scriven, T","006-0124","180","120","11","0","2","ICS"
"PHIL 231 (2) /0","11","8549","Lec","GEC2","004031","MW","04:10 PM","06:00 PM","","010-0221","45","30","0","0","0","ICS"
"PHIL 231 (2) /0","12","8550","Lec","GEC2","004031","MW","06:10 PM","08:00 PM","","010-0225","43","30","0","0","0","ICS"
"PHIL 231","70","5581","Lec","GEC2","004031","TR","06:10 PM","08:00 PM","Lynch, J","180-0107","60","0","0","0","0","ICS"
