
"PHIL 400 /0","01","3766","Ind","","","","","","","","","20","0","0","0",""
"PHIL 400","02","****","Ind","","","","","","Ball, S","","","","","","",""
"PHIL 400","03","****","Ind","","","","","","Brown, D","","","","","","",""
"PHIL 400","04","****","Ind","","","","","","Fernflores, F","","","","","","",""
"PHIL 400","05","****","Ind","","","","","","Fernflores, R","","","","","","",""
"PHIL 400","06","****","Ind","","","","","","Jenkins, R","","","","","","",""
"PHIL 400","07","****","Ind","","","","","","Lin, P","","","","","","",""
"PHIL 400","08","****","Ind","","","","","","Long, T","","","","","","",""
"PHIL 400","09","****","Ind","","","","","","Lynch, J","","","","","","",""
"PHIL 400","10","****","Ind","","","","","","Miklowitz, P","","","","","","",""
"PHIL 400","11","****","Ind","","","","","","Scriven, T","","","","","","",""
"PHIL 400","12","****","Ind","","","","","","Zoller, D","","","","","","",""
